Date,Time,City,Latitude,Longitude,Severity,Weather,Road_Type,Lighting,Traffic_Density,Vehicles_Involved,Cause
2023-11-24,14:07,Mumbai,19.12431,72.82668,Low,Rain,Urban,Daylight,High,1,Speeding
2023-03-13,05:47,Mumbai,19.11134,72.95614,Low,Rain,Urban,Dawn/Dusk,High,3,Speeding
2023-02-14,21:37,Chennai,12.98906,80.18944,Low,Clear,Urban,Night (Lit),Low,2,Weather Conditions
2023-04-30,13:32,Hyderabad,17.29031,78.42647,Medium,Clear,Highway,Daylight,High,2,Speeding
2023-11-29,20:44,Hyderabad,17.3689,78.47654,Medium,Clear,Highway,Night (Lit),Medium,1,Pothole
2023-05-23,06:51,Mumbai,19.12776,72.80963,Low,Overcast,Urban,Daylight,High,1,Speeding
2023-08-05,19:21,Bangalore,12.9027,77.68604,Low,Clear,Urban,Dawn/Dusk,Medium,3,Speeding
2023-06-22,12:06,Mumbai,19.05199,72.8495,Low,Clear,Urban,Daylight,High,1,Weather Conditions
2023-06-26,23:38,Bangalore,13.03303,77.64055,Medium,Fog,Urban,Night (Unlit),High,1,Vehicle Breakdown
2023-10-02,11:07,Chennai,12.99846,80.22934,Low,Clear,Urban,Daylight,Low,2,Speeding
2023-11-18,14:39,Bangalore,12.98707,77.63551,Medium,Clear,Highway,Daylight,Medium,1,Signal Violation
2023-01-24,23:42,Delhi,28.75871,77.19954,Medium,Clear,Urban,Night (Unlit),Low,2,Signal Violation
2023-04-30,20:55,Mumbai,19.05203,72.86838,Low,Clear,Urban,Night (Lit),Medium,2,Pothole
2023-07-06,06:10,Bangalore,12.94265,77.62864,Low,Clear,Urban,Daylight,Medium,2,Pothole
2023-12-26,16:59,Mumbai,19.09783,72.81193,Low,Rain,Urban,Daylight,Low,2,Weather Conditions
2023-05-06,17:10,Chennai,13.05859,80.3686,Medium,Clear,Highway,Daylight,Medium,1,Speeding
2023-11-24,18:44,Hyderabad,17.32892,78.45156,Low,Clear,Rural,Dawn/Dusk,Medium,2,Speeding
2023-01-29,20:14,Mumbai,19.13701,72.85793,Medium,Clear,Highway,Night (Lit),Low,2,Vehicle Breakdown
2023-02-03,18:13,Hyderabad,17.46027,78.44964,Medium,Fog,Highway,Dawn/Dusk,High,2,Signal Violation
2023-12-02,20:31,Chennai,13.15964,80.29927,High,Clear,Highway,Night (Unlit),Medium,4,Drunk Driving
2023-03-15,21:16,Delhi,28.65343,77.11477,Medium,Clear,Highway,Night (Lit),Medium,2,Speeding
2023-05-15,22:47,Hyderabad,17.37069,78.50341,Low,Rain,Urban,Night (Lit),Medium,3,Vehicle Breakdown
2023-07-05,12:14,Delhi,28.70601,77.02068,Medium,Clear,Highway,Daylight,Medium,2,Speeding
2023-01-25,17:55,Mumbai,19.00657,72.8097,Low,Clear,Rural,Daylight,Low,1,Speeding
2023-12-15,16:27,Hyderabad,17.29771,78.46302,Low,Clear,Urban,Daylight,High,1,Signal Violation
2023-08-28,19:33,Bangalore,13.06582,77.66676,Low,Rain,Urban,Dawn/Dusk,Medium,1,Weather Conditions
2023-01-06,21:43,Mumbai,19.11234,72.88509,Low,Clear,Urban,Night (Lit),Low,1,Pothole
2023-05-17,17:49,Bangalore,12.89391,77.58155,Medium,Rain,Highway,Daylight,Medium,2,Weather Conditions
2023-08-21,22:00,Bangalore,13.06598,77.64699,Low,Clear,Rural,Night (Lit),Medium,1,Signal Violation
2023-09-17,19:58,Mumbai,19.1501,72.83739,Low,Clear,Urban,Dawn/Dusk,High,1,Speeding
2023-11-24,22:32,Hyderabad,17.32478,78.46148,Medium,Clear,Urban,Night (Unlit),High,2,Signal Violation
2023-03-24,21:34,Hyderabad,17.4687,78.50649,High,Clear,Highway,Night (Unlit),High,3,Signal Violation
2023-09-08,00:01,Mumbai,19.16182,72.95344,Medium,Clear,Highway,Night (Lit),High,2,Weather Conditions
2023-06-07,19:15,Mumbai,19.02417,72.89117,Medium,Rain,Highway,Dawn/Dusk,Medium,2,Weather Conditions
2023-02-10,18:05,Chennai,13.1459,80.3663,Low,Rain,Urban,Dawn/Dusk,High,2,Speeding
2023-09-30,12:49,Delhi,28.62978,77.09756,Low,Overcast,Urban,Daylight,Medium,2,Signal Violation
2023-10-09,20:10,Bangalore,12.97713,77.61592,Medium,Clear,Highway,Night (Lit),Medium,1,Signal Violation
2023-04-19,02:59,Hyderabad,17.43605,78.52467,Low,Overcast,Rural,Night (Lit),Low,2,Vehicle Breakdown
2023-06-09,01:25,Bangalore,12.95922,77.59812,Medium,Overcast,Rural,Night (Unlit),Medium,1,Signal Violation
2023-03-03,14:15,Delhi,28.61691,77.00671,Medium,Clear,Highway,Daylight,High,3,Weather Conditions
2023-10-11,19:14,Hyderabad,17.32904,78.4009,Low,Clear,Urban,Dawn/Dusk,Medium,1,Vehicle Breakdown
2023-11-20,17:03,Delhi,28.61758,77.00878,Low,Rain,Urban,Daylight,High,2,Pothole
2023-06-19,13:04,Hyderabad,17.3326,78.5205,Low,Fog,Urban,Daylight,High,2,Vehicle Breakdown
2023-04-20,17:34,Delhi,28.74877,77.17898,Low,Rain,Urban,Daylight,High,2,Pothole
2023-10-23,13:30,Delhi,28.76102,77.164,Low,Clear,Urban,Daylight,Medium,2,Speeding
2023-04-08,17:06,Mumbai,19.1078,72.84856,Medium,Clear,Highway,Daylight,Medium,2,Speeding
2023-07-30,14:29,Mumbai,19.11067,72.97453,Low,Clear,Urban,Daylight,Low,2,Speeding
2023-02-20,07:03,Chennai,13.12834,80.33082,Low,Clear,Urban,Daylight,Low,2,Pothole
2023-02-25,23:15,Delhi,28.64214,77.09222,Medium,Rain,Highway,Night (Lit),Medium,1,Weather Conditions
2023-08-05,02:11,Bangalore,12.96413,77.6695,Medium,Rain,Urban,Night (Unlit),High,1,Speeding
2023-02-08,12:28,Hyderabad,17.30458,78.51713,Low,Rain,Urban,Daylight,Medium,3,Drunk Driving
2023-10-04,20:53,Mumbai,19.1698,72.96297,Medium,Clear,Highway,Night (Lit),High,2,Speeding
2023-05-02,01:10,Chennai,13.07983,80.21345,Low,Clear,Urban,Night (Lit),Low,2,Signal Violation
2023-07-25,07:57,Mumbai,19.00893,72.77813,Medium,Clear,Highway,Daylight,Medium,2,Drunk Driving
2023-07-19,18:16,Chennai,13.03975,80.31002,Low,Clear,Urban,Dawn/Dusk,High,2,Pothole
2023-10-12,21:42,Chennai,13.01366,80.23004,Low,Clear,Urban,Night (Lit),Low,2,Speeding
2023-01-30,22:37,Hyderabad,17.29719,78.44942,Low,Rain,Urban,Night (Lit),Medium,3,Weather Conditions
2023-01-26,14:37,Chennai,13.08327,80.34124,Medium,Overcast,Highway,Daylight,High,1,Speeding
2023-03-22,01:03,Hyderabad,17.30102,78.42386,Low,Clear,Urban,Night (Lit),High,1,Signal Violation
2023-11-01,21:04,Delhi,28.68486,77.19082,Low,Rain,Urban,Night (Lit),Low,2,Signal Violation
2023-10-19,20:15,Hyderabad,17.4039,78.51058,Low,Rain,Urban,Night (Lit),Low,2,Vehicle Breakdown
2023-08-03,14:42,Hyderabad,17.39805,78.44997,Low,Clear,Rural,Daylight,High,2,Signal Violation
2023-05-14,20:13,Bangalore,12.91934,77.57376,Medium,Overcast,Urban,Night (Unlit),Low,2,Signal Violation
2023-12-10,22:41,Bangalore,12.96304,77.6804,Medium,Overcast,Highway,Night (Lit),Low,3,Speeding
2023-02-07,23:00,Chennai,13.10693,80.2833,Medium,Clear,Highway,Night (Lit),High,2,Speeding
2023-02-21,20:04,Hyderabad,17.32763,78.43974,Medium,Clear,Urban,Night (Unlit),High,2,Speeding
2023-06-28,16:56,Mumbai,19.15185,72.85161,Medium,Clear,Highway,Daylight,High,2,Speeding
2023-03-22,18:28,Hyderabad,17.42571,78.50904,Low,Clear,Urban,Dawn/Dusk,Low,2,Speeding
2023-12-01,19:33,Mumbai,19.10957,72.88862,Low,Clear,Rural,Dawn/Dusk,Low,2,Speeding
2023-12-06,21:06,Delhi,28.65699,77.18044,Medium,Rain,Urban,Night (Unlit),High,2,Speeding
2023-10-11,17:09,Bangalore,12.92795,77.53673,Medium,Overcast,Highway,Daylight,Medium,1,Drunk Driving
2023-06-25,16:13,Bangalore,12.97268,77.54482,Medium,Clear,Highway,Daylight,Low,2,Pothole
2023-01-27,18:05,Chennai,13.14857,80.17952,Medium,Clear,Highway,Dawn/Dusk,High,1,Signal Violation
2023-06-20,23:49,Delhi,28.73152,77.05489,Low,Clear,Urban,Night (Lit),High,3,Weather Conditions
2023-08-15,06:35,Chennai,13.09488,80.19307,Low,Overcast,Urban,Daylight,Medium,2,Pothole
2023-12-20,16:57,Delhi,28.71322,77.16942,Low,Clear,Rural,Daylight,High,1,Speeding
2023-10-26,23:35,Delhi,28.69006,77.01087,High,Rain,Highway,Night (Unlit),Medium,3,Speeding
2023-07-06,14:57,Mumbai,19.15578,72.81972,Low,Clear,Rural,Daylight,Medium,2,Vehicle Breakdown
2023-05-08,17:42,Mumbai,19.04674,72.88968,Medium,Fog,Urban,Daylight,Medium,3,Speeding
2023-07-28,21:39,Delhi,28.78925,77.04985,Medium,Rain,Urban,Night (Unlit),High,2,Vehicle Breakdown
2023-03-25,04:51,Delhi,28.78038,77.00746,Medium,Fog,Rural,Night (Lit),Medium,2,Speeding
2023-06-20,14:50,Chennai,13.14315,80.34351,Low,Fog,Urban,Daylight,High,2,Weather Conditions
2023-05-08,12:17,Delhi,28.76157,77.02412,Low,Fog,Urban,Daylight,Low,3,Vehicle Breakdown
2023-01-20,17:54,Chennai,13.02719,80.33402,Low,Overcast,Urban,Daylight,High,2,Speeding
2023-08-24,09:22,Bangalore,13.03571,77.66886,Medium,Rain,Highway,Daylight,High,2,Weather Conditions
2023-04-25,14:01,Delhi,28.68379,77.05822,Low,Rain,Urban,Daylight,Low,2,Pothole
2023-02-05,21:49,Bangalore,12.94183,77.59648,Medium,Fog,Urban,Night (Lit),Medium,1,Speeding
2023-12-14,20:53,Hyderabad,17.35123,78.39222,Medium,Clear,Highway,Night (Lit),High,2,Speeding
2023-05-14,18:11,Hyderabad,17.47751,78.43979,Low,Clear,Rural,Dawn/Dusk,Medium,2,Speeding
2023-02-25,20:38,Chennai,13.05184,80.32799,Medium,Fog,Rural,Night (Lit),High,3,Speeding
2023-08-12,17:38,Hyderabad,17.30813,78.5666,Low,Clear,Rural,Daylight,Medium,2,Drunk Driving
2023-04-08,18:16,Mumbai,19.11776,72.77804,Medium,Clear,Highway,Dawn/Dusk,Medium,1,Speeding
2023-10-03,09:43,Delhi,28.67694,77.01649,Low,Clear,Urban,Daylight,High,2,Signal Violation
2023-12-07,19:58,Bangalore,12.99623,77.62728,Medium,Clear,Highway,Dawn/Dusk,Low,1,Speeding
2023-03-05,10:46,Bangalore,12.97302,77.62798,Low,Clear,Urban,Daylight,Low,2,Speeding
2023-06-17,17:25,Bangalore,12.98248,77.53297,Low,Clear,Urban,Daylight,High,1,Pothole
2023-12-07,21:24,Delhi,28.7272,77.06269,Medium,Clear,Urban,Night (Unlit),Low,1,Signal Violation
2023-10-08,11:53,Mumbai,19.03677,72.81974,Low,Clear,Urban,Daylight,Medium,2,Speeding
2023-10-24,20:38,Bangalore,12.9646,77.58303,Low,Rain,Urban,Night (Lit),Medium,2,Weather Conditions
2023-04-20,08:32,Chennai,13.14145,80.36267,Medium,Clear,Highway,Daylight,Medium,2,Speeding
2023-03-28,02:42,Mumbai,19.03276,72.91047,Medium,Clear,Highway,Night (Lit),Medium,2,Signal Violation
2023-11-14,19:21,Mumbai,19.13968,72.92793,Medium,Clear,Highway,Dawn/Dusk,High,2,Weather Conditions
2023-12-11,20:19,Delhi,28.76541,77.03197,Low,Clear,Urban,Night (Lit),Low,2,Pothole
2023-01-24,14:15,Chennai,13.10495,80.3244,Medium,Rain,Highway,Daylight,High,1,Speeding
2023-08-22,12:26,Hyderabad,17.32389,78.52597,Medium,Clear,Highway,Daylight,Low,2,Speeding
2023-09-11,07:25,Delhi,28.63361,77.14002,Low,Clear,Rural,Daylight,Medium,2,Speeding
2023-02-24,23:49,Chennai,13.02647,80.33152,High,Clear,Highway,Night (Unlit),High,5,Pothole
2023-12-23,17:33,Chennai,12.99274,80.22054,Low,Clear,Urban,Daylight,Medium,2,Speeding
2023-03-04,15:29,Delhi,28.76438,77.13602,Medium,Clear,Highway,Daylight,Medium,1,Pothole
2023-10-14,18:38,Bangalore,13.06161,77.67289,Low,Clear,Urban,Dawn/Dusk,Low,2,Speeding
2023-11-10,09:52,Hyderabad,17.37035,78.56807,Low,Overcast,Urban,Daylight,Low,1,Signal Violation
2023-08-17,19:57,Delhi,28.75283,77.09743,Low,Clear,Urban,Dawn/Dusk,High,2,Drunk Driving
2023-05-13,22:48,Delhi,28.77207,77.05796,Medium,Clear,Urban,Night (Unlit),High,1,Vehicle Breakdown
2023-09-24,06:31,Delhi,28.65902,77.018,Low,Clear,Urban,Daylight,High,2,Speeding
2023-05-27,11:15,Bangalore,12.93877,77.67321,Low,Clear,Urban,Daylight,Low,2,Pothole
2023-02-11,14:08,Delhi,28.65035,77.14129,Low,Clear,Urban,Daylight,High,2,Drunk Driving
2023-12-28,16:13,Mumbai,19.05897,72.84388,Low,Rain,Urban,Daylight,Medium,2,Drunk Driving
2023-08-27,14:26,Mumbai,19.01737,72.86173,Low,Overcast,Urban,Daylight,Medium,3,Speeding
2023-10-27,18:44,Mumbai,19.14735,72.93082,Low,Clear,Urban,Dawn/Dusk,Medium,2,Pothole
2023-07-14,22:30,Mumbai,19.16455,72.83742,High,Clear,Highway,Night (Unlit),Low,2,Signal Violation
2023-07-19,17:54,Chennai,13.09034,80.31763,Low,Fog,Urban,Daylight,High,1,Signal Violation
2023-11-05,21:57,Delhi,28.70175,77.05709,Medium,Rain,Highway,Night (Lit),Medium,2,Drunk Driving
2023-09-06,19:01,Chennai,13.04993,80.30653,Low,Rain,Urban,Dawn/Dusk,High,2,Drunk Driving
2023-07-27,10:46,Delhi,28.7722,77.18641,Low,Clear,Urban,Daylight,High,3,Drunk Driving
2023-11-15,10:34,Mumbai,19.15739,72.89608,Low,Clear,Urban,Daylight,Medium,2,Speeding
