City,Timestamp,Text,Sentiment
Delhi,2023-12-12 03:00:00,Drunk driver caught by police before causing harm. Good job.,0.39
Chennai,2023-03-11 14:00:00,Another accident due to poor lighting on the main road.,-0.72
Hyderabad,2023-07-17 20:00:00,Can the city please fix the signals? It's causing chaos.,-0.76
Hyderabad,2023-11-05 00:00:00,Another accident due to poor lighting on the main road.,-0.76
Chennai,2023-05-25 08:00:00,Traffic is moving smoothly this morning.,0.4
Delhi,2023-09-27 00:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.54
Delhi,2023-10-03 19:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.29
Bangalore,2023-01-23 12:00:00,Another accident due to poor lighting on the main road.,-0.78
Hyderabad,2023-07-19 10:00:00,Traffic is moving smoothly this morning.,0.41
Delhi,2023-12-22 18:00:00,Drunk driver caught by police before causing harm. Good job.,0.38
Chennai,2023-06-14 04:00:00,Can the city please fix the signals? It's causing chaos.,-0.69
Mumbai,2023-03-08 16:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.35
Chennai,2023-07-17 10:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.2
Hyderabad,2023-01-23 00:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.63
Mumbai,2023-10-06 00:00:00,Severe accident on the bypass road. Ambulances rushing.,-0.95
Mumbai,2023-09-19 00:00:00,Huge pothole caused a bike crash just now.,-1.0
Chennai,2023-06-20 06:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Chennai,2023-07-23 16:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.24
Delhi,2023-12-02 20:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.52
Chennai,2023-04-08 00:00:00,Another accident due to poor lighting on the main road.,-0.89
Chennai,2023-10-05 02:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.21
Hyderabad,2023-04-15 22:00:00,Drunk driver caught by police before causing harm. Good job.,0.38
Delhi,2023-11-28 12:00:00,Another accident due to poor lighting on the main road.,-0.83
Mumbai,2023-02-05 11:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Delhi,2023-01-02 21:00:00,Drunk driver caught by police before causing harm. Good job.,0.45
Delhi,2023-11-14 21:00:00,Traffic is moving smoothly this morning.,0.57
Hyderabad,2023-03-21 21:00:00,Visibility is zero because of the fog. Very dangerous.,-0.86
Bangalore,2023-10-03 07:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.26
Hyderabad,2023-07-19 06:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Hyderabad,2023-12-02 08:00:00,Can the city please fix the signals? It's causing chaos.,-0.73
Hyderabad,2023-02-15 01:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.25
Bangalore,2023-04-28 07:00:00,Can the city please fix the signals? It's causing chaos.,-0.63
Chennai,2023-09-16 11:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.22
Bangalore,2023-11-29 07:00:00,Visibility is zero because of the fog. Very dangerous.,-0.77
Hyderabad,2023-11-28 16:00:00,Another accident due to poor lighting on the main road.,-0.72
Hyderabad,2023-02-11 21:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.63
Bangalore,2023-10-12 15:00:00,Huge pothole caused a bike crash just now.,-1.0
Hyderabad,2023-11-22 04:00:00,Visibility is zero because of the fog. Very dangerous.,-0.88
Mumbai,2023-10-27 19:00:00,Traffic is moving smoothly this morning.,0.41
Bangalore,2023-08-28 18:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.27
Hyderabad,2023-04-06 14:00:00,Severe accident on the bypass road. Ambulances rushing.,-0.98
Bangalore,2023-12-20 03:00:00,Can the city please fix the signals? It's causing chaos.,-0.63
Mumbai,2023-10-05 02:00:00,Severe accident on the bypass road. Ambulances rushing.,-0.91
Delhi,2023-03-03 15:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Hyderabad,2023-09-22 09:00:00,Drunk driver caught by police before causing harm. Good job.,0.35
Mumbai,2023-05-12 01:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.32
Chennai,2023-10-10 16:00:00,Can the city please fix the signals? It's causing chaos.,-0.65
Delhi,2023-01-12 15:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.53
Mumbai,2023-10-13 20:00:00,Can the city please fix the signals? It's causing chaos.,-0.71
Hyderabad,2023-01-11 02:00:00,Drunk driver caught by police before causing harm. Good job.,0.36
Bangalore,2023-04-18 21:00:00,Drunk driver caught by police before causing harm. Good job.,0.36
Hyderabad,2023-03-17 21:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.33
Chennai,2023-12-24 11:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Bangalore,2023-12-19 17:00:00,Visibility is zero because of the fog. Very dangerous.,-0.74
Mumbai,2023-01-07 00:00:00,Can the city please fix the signals? It's causing chaos.,-0.66
Delhi,2023-10-15 03:00:00,Huge pothole caused a bike crash just now.,-0.92
Delhi,2023-03-20 08:00:00,Traffic is moving smoothly this morning.,0.52
Chennai,2023-12-16 09:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.7
Hyderabad,2023-06-26 03:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.62
Delhi,2023-11-30 14:00:00,Traffic is moving smoothly this morning.,0.54
Hyderabad,2023-08-06 01:00:00,Can the city please fix the signals? It's causing chaos.,-0.64
Chennai,2023-08-31 22:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.23
Chennai,2023-09-30 15:00:00,Traffic is moving smoothly this morning.,0.49
Hyderabad,2023-05-05 01:00:00,Huge pothole caused a bike crash just now.,-0.93
Hyderabad,2023-03-09 21:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.51
Mumbai,2023-02-18 21:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.56
Bangalore,2023-08-02 07:00:00,Drunk driver caught by police before causing harm. Good job.,0.36
Hyderabad,2023-12-12 02:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.54
Delhi,2023-03-10 01:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.36
Chennai,2023-06-11 18:00:00,Can the city please fix the signals? It's causing chaos.,-0.71
Hyderabad,2023-04-20 13:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.21
Bangalore,2023-09-03 12:00:00,Drunk driver caught by police before causing harm. Good job.,0.37
Delhi,2023-07-02 11:00:00,Can the city please fix the signals? It's causing chaos.,-0.7
Chennai,2023-10-13 10:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Bangalore,2023-08-07 12:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Chennai,2023-03-27 21:00:00,Traffic is moving smoothly this morning.,0.57
Mumbai,2023-09-19 15:00:00,Huge pothole caused a bike crash just now.,-0.99
Bangalore,2023-01-28 05:00:00,Can the city please fix the signals? It's causing chaos.,-0.75
Bangalore,2023-11-25 08:00:00,Huge pothole caused a bike crash just now.,-0.95
Hyderabad,2023-08-16 19:00:00,Can the city please fix the signals? It's causing chaos.,-0.77
Hyderabad,2023-05-16 20:00:00,Traffic is moving smoothly this morning.,0.46
Mumbai,2023-01-04 09:00:00,Traffic is moving smoothly this morning.,0.47
Chennai,2023-06-18 21:00:00,Huge pothole caused a bike crash just now.,-0.85
Chennai,2023-09-04 01:00:00,Can the city please fix the signals? It's causing chaos.,-0.67
Mumbai,2023-02-03 16:00:00,Visibility is zero because of the fog. Very dangerous.,-0.77
Chennai,2023-04-12 17:00:00,Can the city please fix the signals? It's causing chaos.,-0.67
Hyderabad,2023-06-28 10:00:00,Traffic is moving smoothly this morning.,0.43
Mumbai,2023-10-22 16:00:00,Huge pothole caused a bike crash just now.,-0.95
Bangalore,2023-11-28 04:00:00,Another accident due to poor lighting on the main road.,-0.78
Chennai,2023-11-11 14:00:00,Another accident due to poor lighting on the main road.,-0.88
Chennai,2023-01-03 03:00:00,Drunk driver caught by police before causing harm. Good job.,0.44
Delhi,2023-08-24 09:00:00,Visibility is zero because of the fog. Very dangerous.,-0.89
Hyderabad,2023-05-16 17:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.53
Hyderabad,2023-09-24 10:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.31
Chennai,2023-05-13 07:00:00,Traffic is moving smoothly this morning.,0.49
Bangalore,2023-11-06 06:00:00,Drunk driver caught by police before causing harm. Good job.,0.38
Hyderabad,2023-09-22 17:00:00,Huge pothole caused a bike crash just now.,-0.86
Chennai,2023-08-02 02:00:00,Another accident due to poor lighting on the main road.,-0.76
Chennai,2023-09-27 21:00:00,Drunk driver caught by police before causing harm. Good job.,0.38
Mumbai,2023-06-11 16:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Chennai,2023-02-11 19:00:00,Can the city please fix the signals? It's causing chaos.,-0.77
Chennai,2023-02-04 22:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.57
Delhi,2023-01-15 10:00:00,Another accident due to poor lighting on the main road.,-0.87
Bangalore,2023-08-03 00:00:00,Can the city please fix the signals? It's causing chaos.,-0.66
Mumbai,2023-09-08 09:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.22
Bangalore,2023-09-30 09:00:00,Can the city please fix the signals? It's causing chaos.,-0.69
Hyderabad,2023-08-15 13:00:00,Can the city please fix the signals? It's causing chaos.,-0.73
Delhi,2023-02-18 20:00:00,Visibility is zero because of the fog. Very dangerous.,-0.8
Chennai,2023-04-27 01:00:00,Severe accident on the bypass road. Ambulances rushing.,-1.0
Hyderabad,2023-04-18 03:00:00,Huge pothole caused a bike crash just now.,-0.93
Delhi,2023-06-07 03:00:00,Huge pothole caused a bike crash just now.,-0.85
Hyderabad,2023-05-14 10:00:00,Roads are extremely slippery due to rain. Drive safe.,-0.36
Hyderabad,2023-07-09 22:00:00,Terrible traffic near the highway intersection today. Avoid!,-0.51
Bangalore,2023-04-03 09:00:00,Can the city please fix the signals? It's causing chaos.,-0.63
